Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD
US,US-FL,FL-12,1480700,1303000,104994000,2576350,9787200,33878000,9831500,421485000,5656100,6263175,13725750,1125300,2206200
US,US-FL,FL-13,1449500,1275550,102784500,2522150,9581200,33165000,9624500,412620000,5537100,6131400,13437000,1101650,2159800
US,US-FL,FL-14,2294500,2019150,162703000,3992425,15166600,52498000,15235500,653152500,8765000,9705750,21270000,1743800,3418800
US,US-FL,FL-15,1450200,1276150,102830250,2523250,9585500,33179000,9629000,412800000,5539600,6134100,13443000,1102100,2160800
US,US-FL,FL-16,1610700,1417450,114217750,2802700,10647000,36854000,10695500,458512500,6153000,6813450,14931750,1224150,2400000
US,US-FL,FL-17,1167200,1027150,82768500,2030975,7715400,26706000,7750500,332265000,4458800,4937400,10820250,887100,1739200
US,US-FL,FL-18,1546200,1360600,109638000,2690300,10220100,35376000,10266500,440130000,5906300,6540225,14332500,1175100,2303800
US,US-FL,FL-19,1840000,1619250,130477500,3201675,12162700,42100000,12218000,523785000,7029000,7783425,17057250,1398450,2741600
US,US-FL,FL-2,1054200,927650,74751250,1834250,6968100,24119000,6999500,300082500,4026900,4459125,9772500,801150,1570800
US,US-FL,FL-20,1330100,1170500,94317000,2314375,8791900,30433000,8832000,378622500,5081000,5626275,12330000,1010850,1981800
US,US-FL,FL-21,1522700,1339950,107974000,2649475,10065000,34839000,10110500,433447500,5816700,6441000,14115000,1157250,2268800
US,US-FL,FL-22,1833100,1613100,129982750,3189525,12116600,41941000,12171500,521797500,7002300,7753875,16992750,1393150,2731200
US,US-FL,FL-23,1601300,1409100,113546250,2786200,10584400,36637000,10632500,455820000,6116900,6773400,14844000,1216950,2385800
US,US-FL,FL-24,2855200,2512550,202460000,4968000,18872700,65326000,18958500,812752500,10906700,12077325,26467500,2169950,4254200
US,US-FL,FL-25,1651000,1452900,117074750,2872800,10913300,37776000,10963000,469980000,6306900,6983850,15305250,1254800,2460000
US,US-FL,FL-26,1654300,1455800,117308750,2878550,10935100,37851000,10985000,470925000,6319600,6997800,15336000,1257300,2465000
US,US-FL,FL-27,2674700,2353750,189664250,4654000,17679900,61198000,17760000,761385000,10217400,11314050,24795000,2032800,3985400
US,US-FL,FL-3,1603000,1410600,113666500,2789175,10595600,36676000,10643500,456300000,6123300,6780525,14859750,1218250,2388400
US,US-FL,FL-4,2010100,1768900,142538750,3497625,13287000,45992000,13347500,572205000,7678700,8502900,18633750,1527700,2995200
US,US-FL,FL-5,894800,787450,63453250,1557025,5914900,20474000,5942000,254722500,3418300,3785175,8295000,680100,1333400
US,US-FL,FL-6,1790800,1575950,126988500,3116075,11837500,40974000,11891000,509782500,6841000,7575225,16601250,1361050,2668400
